lh.aparc.volume,lh_bankssts_volume,lh_caudalanteriorcingulate_volume,lh_caudalmiddlefrontal_volume,lh_cuneus_volume,lh_entorhinal_volume,lh_fusiform_volume,lh_inferiorparietal_volume,lh_inferiortemporal_volume,lh_isthmuscingulate_volume,lh_lateraloccipital_volume,lh_lateralorbitofrontal_volume,lh_lingual_volume,lh_medialorbitofrontal_volume,lh_middletemporal_volume,lh_parahippocampal_volume,lh_paracentral_volume,lh_parsopercularis_volume,lh_parsorbitalis_volume,lh_parstriangularis_volume,lh_pericalcarine_volume,lh_postcentral_volume,lh_posteriorcingulate_volume,lh_precentral_volume,lh_precuneus_volume,lh_rostralanteriorcingulate_volume,lh_rostralmiddlefrontal_volume,lh_superiorfrontal_volume,lh_superiorparietal_volume,lh_superiortemporal_volume,lh_supramarginal_volume,lh_frontalpole_volume,lh_temporalpole_volume,lh_transversetemporal_volume,lh_insula_volume
sub-fsm02cd,2279.0,2441.0,7091.0,2592.0,1992.0,9775.0,11525.0,13322.0,2540.0,10553.0,8751.0,6277.0,6057.0,11124.0,2753.0,2804.0,4156.0,3002.0,4119.0,1931.0,9992.0,3201.0,12950.0,8116.0,3413.0,16852.0,23458.0,11104.0,12902.0,10479.0,1170.0,2909.0,1325.0,7120.0
sub-fsm08un,2119.0,1529.0,5255.0,3768.0,2324.0,7857.0,10051.0,10817.0,2413.0,10768.0,7134.0,6961.0,4983.0,10212.0,1878.0,2655.0,4067.0,2119.0,3739.0,2697.0,9554.0,2642.0,12672.0,8988.0,2415.0,16064.0,21246.0,11677.0,12557.0,10091.0,899.0,2351.0,941.0,6138.0
sub-fsm10cv,2001.0,1201.0,4974.0,3050.0,1981.0,10101.0,10934.0,10438.0,2254.0,10124.0,7664.0,5262.0,4624.0,9470.0,2311.0,3153.0,3915.0,1890.0,2589.0,1806.0,7113.0,2257.0,9953.0,8267.0,2826.0,12813.0,19831.0,11233.0,11073.0,7089.0,738.0,2618.0,835.0,6371.0
sub-fsm11ni,2354.0,1616.0,4860.0,2810.0,2132.0,8498.0,9665.0,9904.0,2631.0,9117.0,6543.0,5902.0,4187.0,8728.0,1843.0,2828.0,4032.0,2052.0,3376.0,1724.0,7054.0,2916.0,11117.0,8067.0,2504.0,14767.0,20164.0,11039.0,10592.0,8825.0,777.0,2195.0,900.0,7386.0
sub-fsm14pu,2891.0,1644.0,5591.0,2778.0,2059.0,12060.0,11496.0,13631.0,3060.0,10911.0,9597.0,6227.0,5452.0,13170.0,2260.0,3454.0,7108.0,3437.0,5458.0,1858.0,9938.0,3924.0,14606.0,11802.0,3115.0,17810.0,26660.0,13111.0,16196.0,13324.0,889.0,2431.0,1791.0,8027.0
sub-fsm21em,2438.0,1391.0,5874.0,2434.0,1780.0,9089.0,10025.0,8584.0,2777.0,11315.0,8695.0,6523.0,5554.0,13201.0,2227.0,3099.0,5597.0,2370.0,3895.0,1554.0,9212.0,3034.0,13550.0,9761.0,2795.0,17065.0,23938.0,13646.0,14290.0,13503.0,983.0,2646.0,1267.0,8422.0
sub-fsm22db,2356.0,1626.0,7901.0,2807.0,1498.0,9859.0,14823.0,11761.0,2333.0,13340.0,8670.0,6593.0,5828.0,13735.0,2103.0,4114.0,5153.0,2659.0,4893.0,1906.0,9928.0,3323.0,15317.0,10707.0,2819.0,18512.0,31703.0,16336.0,15146.0,9963.0,1047.0,2432.0,1639.0,7598.0
sub-fsm23qf,1419.0,917.0,4602.0,2921.0,1393.0,9043.0,8578.0,8499.0,1943.0,8686.0,6822.0,5760.0,4075.0,7896.0,1775.0,2633.0,4407.0,2021.0,3692.0,2081.0,6816.0,2011.0,9133.0,7269.0,1887.0,10287.0,15346.0,9925.0,9246.0,8603.0,791.0,2331.0,910.0,5805.0
sub-fsm24dz,2424.0,1759.0,4200.0,2141.0,2000.0,8897.0,12893.0,11798.0,2259.0,10537.0,7349.0,5370.0,4788.0,10026.0,1917.0,3193.0,4470.0,2488.0,3818.0,1550.0,8435.0,2903.0,10443.0,9393.0,2522.0,16721.0,20834.0,11897.0,11153.0,9725.0,937.0,2723.0,1107.0,7062.0
sub-fsm27uz,2735.0,2590.0,6965.0,3019.0,1916.0,9798.0,12994.0,11737.0,3202.0,11797.0,9169.0,6682.0,6175.0,9878.0,2526.0,3485.0,5242.0,2401.0,4622.0,1593.0,9704.0,3126.0,14898.0,9867.0,3988.0,19984.0,24029.0,12678.0,17416.0,14944.0,1171.0,2356.0,2323.0,7582.0
sub-fsm30gy,2225.0,1422.0,6436.0,2922.0,1720.0,9746.0,10893.0,13688.0,2538.0,11025.0,7528.0,7052.0,4893.0,12984.0,2055.0,3125.0,4076.0,2442.0,3301.0,2104.0,9050.0,3089.0,12867.0,8723.0,3131.0,15035.0,26024.0,10785.0,11236.0,11781.0,932.0,3528.0,1034.0,7575.0
sub-fsm39ap,3001.0,3759.0,5749.0,2823.0,2637.0,12113.0,13606.0,13676.0,2863.0,12901.0,8529.0,4778.0,6156.0,12835.0,1972.0,3552.0,5792.0,2567.0,4921.0,1632.0,9490.0,3996.0,13011.0,11048.0,4591.0,18100.0,26517.0,14813.0,14441.0,11358.0,1144.0,3040.0,1405.0,8911.0
sub-fsm40mn,2103.0,1149.0,5546.0,2577.0,2353.0,9068.0,8506.0,10521.0,2946.0,12051.0,8528.0,5434.0,5459.0,9302.0,1938.0,2882.0,4739.0,2775.0,3466.0,1604.0,8236.0,3286.0,11697.0,10116.0,2958.0,14514.0,23665.0,14026.0,11354.0,13910.0,1203.0,3218.0,1126.0,6733.0
sub-fsm42wk,1893.0,1237.0,5922.0,2341.0,1667.0,8500.0,10939.0,9259.0,2292.0,9851.0,6522.0,5767.0,4506.0,8091.0,1749.0,3065.0,3015.0,2059.0,3138.0,1626.0,8860.0,2020.0,11576.0,8559.0,2173.0,13368.0,20082.0,12322.0,9834.0,7804.0,840.0,2385.0,843.0,5536.0
sub-fsm50ww,2578.0,1813.0,6066.0,2661.0,1998.0,8781.0,10099.0,11611.0,2302.0,9902.0,7374.0,5717.0,4988.0,11434.0,1816.0,2781.0,4852.0,2280.0,4276.0,2178.0,8800.0,2905.0,12144.0,8236.0,2757.0,15489.0,19541.0,11183.0,11860.0,10348.0,990.0,2979.0,845.0,8443.0
sub-fsm54jc,2335.0,1415.0,5963.0,2885.0,1766.0,9286.0,9734.0,9650.0,1885.0,10721.0,7191.0,7546.0,4961.0,11800.0,2502.0,3553.0,5148.0,2437.0,3889.0,2031.0,7906.0,2675.0,14022.0,8119.0,2929.0,17849.0,21028.0,10344.0,12253.0,11975.0,1051.0,2657.0,1162.0,6094.0
sub-fsm57hp,2337.0,1520.0,5654.0,3299.0,2468.0,8516.0,9844.0,9697.0,2016.0,10850.0,6700.0,7420.0,4614.0,11525.0,2410.0,2821.0,3844.0,1954.0,2752.0,2212.0,8656.0,2735.0,12272.0,8277.0,2098.0,12091.0,20815.0,11900.0,11735.0,9554.0,850.0,1930.0,1282.0,6847.0
sub-fsm64ps,1996.0,1184.0,4177.0,2422.0,1643.0,7423.0,10460.0,10140.0,1657.0,8543.0,5692.0,4216.0,4249.0,8282.0,1740.0,2151.0,3428.0,1670.0,2868.0,1397.0,5966.0,2395.0,9805.0,6968.0,1733.0,11078.0,16203.0,9899.0,8279.0,6839.0,766.0,2495.0,694.0,5438.0
sub-fsm66oo,2902.0,2790.0,5663.0,2192.0,1813.0,9981.0,11975.0,9602.0,2184.0,8680.0,6714.0,4082.0,4817.0,9809.0,1926.0,2930.0,4186.0,1919.0,3359.0,1343.0,8138.0,2551.0,13306.0,8799.0,3138.0,13848.0,18404.0,11642.0,11046.0,10382.0,789.0,2395.0,840.0,7148.0
sub-fsm67lq,2158.0,1600.0,5783.0,2647.0,2658.0,7722.0,11453.0,11270.0,2286.0,9274.0,7736.0,6471.0,4427.0,10878.0,2747.0,3387.0,4422.0,2553.0,4562.0,2133.0,7155.0,2768.0,12046.0,8057.0,2069.0,13517.0,22792.0,12295.0,10937.0,10003.0,1120.0,2167.0,1115.0,6586.0
sub-fsm70qy,2923.0,1704.0,5956.0,2963.0,2031.0,9440.0,12077.0,13061.0,2615.0,11255.0,8499.0,6829.0,5082.0,12377.0,2090.0,3269.0,5413.0,2369.0,3743.0,1891.0,7614.0,3396.0,12476.0,9855.0,2690.0,16374.0,24698.0,11963.0,11726.0,11751.0,1095.0,2375.0,1176.0,7238.0
sub-fsm76cw,2188.0,1388.0,5180.0,3331.0,1691.0,8753.0,11177.0,10577.0,2534.0,10464.0,7314.0,7104.0,4896.0,10730.0,1823.0,2992.0,4800.0,2063.0,3646.0,2830.0,8169.0,2782.0,10957.0,7801.0,2848.0,13365.0,19520.0,10021.0,11685.0,10031.0,805.0,3030.0,1100.0,7198.0
sub-fsm79bf,2078.0,1723.0,5198.0,2380.0,1897.0,8294.0,9210.0,9087.0,1567.0,10709.0,6884.0,4736.0,4971.0,8721.0,1325.0,2987.0,3633.0,1937.0,2467.0,1346.0,8864.0,2364.0,11432.0,7866.0,2640.0,12482.0,19794.0,11350.0,10318.0,8607.0,880.0,2228.0,826.0,5780.0
sub-fsm84zy,2168.0,1650.0,7638.0,2339.0,1551.0,8251.0,12069.0,11577.0,2455.0,10213.0,8788.0,4931.0,6308.0,12504.0,2046.0,3135.0,6803.0,2632.0,4852.0,1679.0,8900.0,3402.0,12401.0,9714.0,3171.0,15790.0,22956.0,10515.0,14402.0,10318.0,1031.0,2856.0,1079.0,7164.0
sub-fsm85fp,2668.0,2087.0,5714.0,2774.0,1920.0,10255.0,14339.0,13257.0,2684.0,11860.0,9010.0,6846.0,5392.0,13553.0,2221.0,3200.0,4343.0,3031.0,3853.0,2306.0,8379.0,2595.0,13083.0,11251.0,3943.0,16015.0,22345.0,13774.0,13571.0,11609.0,998.0,2544.0,1081.0,8090.0
sub-fsm87qb,2261.0,1205.0,5263.0,2250.0,1866.0,7636.0,9101.0,8207.0,1940.0,8343.0,6049.0,5592.0,4182.0,8245.0,1805.0,2536.0,3549.0,1844.0,2329.0,1780.0,6777.0,2311.0,10292.0,6130.0,1645.0,9853.0,17449.0,8949.0,8894.0,8604.0,856.0,2487.0,825.0,5123.0
sub-fsm90ao,2340.0,1534.0,4074.0,1664.0,1836.0,7625.0,11268.0,11464.0,1939.0,7801.0,6518.0,3862.0,4533.0,10306.0,1986.0,2558.0,4112.0,2352.0,3058.0,1231.0,7796.0,2231.0,11524.0,7601.0,2414.0,11748.0,18733.0,10153.0,11144.0,9502.0,866.0,3332.0,988.0,6256.0
sub-fsm93cs,2493.0,1613.0,7004.0,1988.0,2241.0,8629.0,8933.0,13950.0,2641.0,9445.0,7120.0,5142.0,4626.0,10416.0,1781.0,3448.0,3855.0,2225.0,3440.0,1666.0,9397.0,3007.0,11817.0,7816.0,2450.0,14705.0,22661.0,9611.0,10789.0,10472.0,978.0,2194.0,910.0,7619.0
sub-fsm96ry,2307.0,2032.0,6789.0,2611.0,2377.0,7263.0,9569.0,12179.0,2451.0,10675.0,8476.0,6222.0,5837.0,11716.0,1708.0,3325.0,4096.0,1978.0,3223.0,2372.0,9558.0,2889.0,13794.0,8916.0,3191.0,16497.0,21990.0,12426.0,13631.0,10660.0,921.0,2748.0,884.0,7959.0
sub-fsm99tc,2784.0,1511.0,5715.0,2556.0,2437.0,9878.0,11559.0,10533.0,2303.0,11044.0,7816.0,6494.0,6104.0,10869.0,1998.0,3510.0,5408.0,2249.0,4176.0,1747.0,8070.0,2670.0,13275.0,8226.0,3349.0,16834.0,25083.0,11692.0,13139.0,12814.0,857.0,2414.0,980.0,7836.0
