rh.aparc.area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area
sub-fsm02cd,962.0,775.0,2336.0,1327.0,382.0,3039.0,4865.0,2762.0,966.0,4645.0,2985.0,3283.0,2188.0,3803.0,583.0,1436.0,1261.0,949.0,1825.0,1303.0,3993.0,1272.0,4579.0,3526.0,720.0,6061.0,8030.0,4758.0,4009.0,3483.0,361.0,451.0,307.0,2202.0,85427.4
sub-fsm08un,1195.0,1037.0,2158.0,2031.0,428.0,2944.0,4308.0,3561.0,1064.0,5360.0,2250.0,3695.0,2063.0,3833.0,591.0,1529.0,1256.0,824.0,1382.0,1861.0,3706.0,1303.0,4871.0,3726.0,626.0,6091.0,6719.0,4406.0,3696.0,3383.0,343.0,472.0,332.0,2390.0,85432.0
sub-fsm10cv,862.0,794.0,2155.0,1853.0,345.0,3087.0,5070.0,3005.0,856.0,5456.0,2667.0,3053.0,1991.0,2889.0,677.0,1527.0,1125.0,750.0,1203.0,1621.0,3763.0,1174.0,4445.0,3498.0,593.0,5428.0,6463.0,5892.0,3683.0,2903.0,270.0,489.0,294.0,2191.0,82070.6
sub-fsm11ni,955.0,734.0,2284.0,1924.0,442.0,3027.0,4517.0,3248.0,1068.0,5445.0,2418.0,3494.0,1920.0,3319.0,641.0,1469.0,1465.0,836.0,1510.0,1646.0,4028.0,1183.0,4873.0,3777.0,585.0,5836.0,7318.0,5252.0,3925.0,3259.0,304.0,498.0,344.0,2697.0,86240.3
sub-fsm14pu,1040.0,1008.0,2561.0,1602.0,400.0,3636.0,6496.0,3663.0,1005.0,5016.0,3025.0,2859.0,2133.0,3761.0,715.0,1731.0,2202.0,1069.0,2252.0,1553.0,4005.0,1582.0,5226.0,4535.0,778.0,6998.0,7772.0,5651.0,4164.0,4727.0,337.0,398.0,370.0,2368.0,96637.0
sub-fsm21em,845.0,754.0,2261.0,1938.0,371.0,3466.0,4693.0,3356.0,775.0,6110.0,2665.0,3345.0,2203.0,3407.0,787.0,1719.0,1231.0,858.0,1639.0,1740.0,4610.0,1023.0,5424.0,3904.0,756.0,6471.0,8220.0,5084.0,4228.0,3822.0,335.0,575.0,430.0,2573.0,91619.3
sub-fsm22db,1044.0,912.0,2457.0,1859.0,307.0,3211.0,7314.0,3534.0,950.0,5572.0,3533.0,3650.0,2368.0,4184.0,779.0,1624.0,1936.0,962.0,2140.0,1751.0,3801.0,1467.0,5361.0,4665.0,705.0,6872.0,9206.0,6777.0,3926.0,3127.0,371.0,466.0,360.0,2552.0,99743.3
sub-fsm23qf,732.0,668.0,1785.0,1542.0,267.0,2234.0,4180.0,2478.0,795.0,4416.0,2180.0,3441.0,1916.0,2773.0,494.0,1179.0,1196.0,765.0,1245.0,2036.0,3231.0,909.0,3870.0,3248.0,588.0,4470.0,4895.0,4949.0,3062.0,2592.0,270.0,400.0,284.0,1858.0,70946.1
sub-fsm24dz,840.0,743.0,1971.0,1606.0,420.0,3084.0,5652.0,3198.0,771.0,4418.0,2708.0,2666.0,1979.0,3499.0,577.0,1620.0,1309.0,855.0,1607.0,1379.0,3308.0,1167.0,4516.0,3899.0,619.0,5752.0,6974.0,5794.0,3417.0,3771.0,287.0,543.0,325.0,2344.0,83618.6
sub-fsm27uz,923.0,683.0,3027.0,1798.0,594.0,3727.0,5963.0,4436.0,915.0,5410.0,2863.0,3699.0,2149.0,4147.0,611.0,1786.0,1583.0,853.0,1634.0,1647.0,4140.0,1253.0,5197.0,4378.0,577.0,6737.0,8575.0,5366.0,4154.0,4633.0,391.0,567.0,478.0,2602.0,97497.0
